date,vendor_id,vendor_type,vendor_rating,bid_amount,base_price,quality_score,won
2024-11-20 18:35:06.366091,120,0,3.51,56422.97,54164.57,0.5985,1
2025-01-27 18:35:06.366091,150,0,2.4,109413.39,106216.53,0.5029,0
2025-04-23 18:35:06.366091,24,0,4.24,55942.85,52592.67,0.6438,0
2025-10-12 18:35:06.366091,190,1,3.53,60736.61,57197.7,0.555,0
2024-11-09 18:35:06.366091,60,0,3.69,82432.69,79570.61,0.5436,0
2025-10-24 18:35:06.366091,185,2,4.57,139478.43,119735.04,0.5447,0
2025-07-09 18:35:06.366091,115,1,3.59,65735.31,60173.43,0.6657,0
2025-10-03 18:35:06.366091,149,2,4.15,150899.24,133508.96,0.5298,0
2025-02-05 18:35:06.366091,16,1,3.94,115068.61,113154.07,0.2911,0
2025-06-03 18:35:06.366091,185,2,4.3,159954.63,147175.87,0.6697,1
2025-10-15 18:35:06.366091,160,1,3.03,81777.49,79205.65,0.1425,0
2025-05-27 18:35:06.366091,120,0,3.01,62224.69,60206.5,0.3211,0
2025-01-17 18:35:06.366091,148,1,3.37,118741.76,107475.58,0.6868,0
2024-11-06 18:35:06.366091,0,0,3.6,116472.65,109704.2,0.5598,0
2025-03-11 18:35:06.366091,107,2,3.75,83497.18,77742.26,0.1632,0
2025-05-29 18:35:06.366091,177,0,3.5,65938.86,65187.81,0.5642,0
2025-07-07 18:35:06.366091,10,1,3.48,105860.91,102205.99,0.0407,0
2025-01-10 18:35:06.366091,52,1,4.73,84097.82,76840.16,0.508,0
2024-12-21 18:35:06.366091,147,0,2.57,102528.46,104622.03,0.3442,1
2025-10-31 18:35:06.366091,33,0,3.69,105968.76,99273.43,0.7793,1
2025-03-24 18:35:06.366091,16,1,3.81,52438.88,52771.54,0.1457,0
2025-06-17 18:35:06.366091,185,2,3.66,104654.45,94746.16,0.5665,1
2025-09-08 18:35:06.366091,125,2,3.75,182205.63,159481.7,0.6174,0
2025-03-24 18:35:06.366091,102,0,3.48,81725.28,80863.46,0.4601,0
2025-04-07 18:35:06.366091,152,2,4.13,149518.38,127927.36,0.6709,0
2025-08-07 18:35:06.366091,71,2,5.0,91568.08,80743.45,0.3634,0
2025-07-13 18:35:06.366091,127,1,2.95,114932.84,109005.05,0.5461,0
2025-02-28 18:35:06.366091,139,1,3.89,52841.26,49547.33,0.4368,0
2025-06-10 18:35:06.366091,0,0,3.22,109529.36,103889.35,0.609,1
2024-11-13 18:35:06.366091,173,2,3.43,207488.27,180872.46,0.3331,0
2025-04-30 18:35:06.366091,148,1,2.56,115826.15,103950.65,0.8336,1
2025-07-13 18:35:06.366091,153,0,3.52,111794.17,112571.72,0.5803,0
2025-04-12 18:35:06.366091,141,0,3.62,56772.61,59437.96,0.3774,0
2025-09-28 18:35:06.366091,49,1,4.26,107966.95,102048.2,0.2702,0
2025-04-15 18:35:06.366091,102,0,3.7,110633.53,98977.75,0.9199,0
2025-03-27 18:35:06.366091,94,1,4.16,73935.44,69586.5,0.7919,0
2025-02-09 18:35:06.366091,6,0,4.14,106015.86,106196.83,0.2353,0
2025-02-03 18:35:06.366091,103,1,3.53,71409.69,66376.91,0.4806,0
2025-03-07 18:35:06.366091,96,0,2.51,76140.73,73721.17,0.4037,0
2025-03-05 18:35:06.366091,180,0,3.81,58228.17,61117.15,0.1355,0
2025-10-31 18:35:06.366091,190,1,3.94,73088.2,67693.18,0.9488,0
2025-08-20 18:35:06.366091,151,1,2.98,105121.67,97729.1,0.4645,0
2025-05-25 18:35:06.366091,199,1,2.99,87574.79,79163.72,0.5194,0
2025-04-28 18:35:06.366091,128,2,4.28,147767.78,131475.24,0.3294,0
2025-10-21 18:35:06.366091,147,0,4.21,79076.3,72472.49,0.8378,1
2025-03-05 18:35:06.366091,110,2,4.89,123721.26,102862.61,1.0,1
2025-01-09 18:35:06.366091,127,1,2.7,88908.43,81777.32,0.6263,1
2025-01-19 18:35:06.366091,105,0,3.69,118928.27,115652.67,0.6656,0
2025-03-22 18:35:06.366091,70,1,3.01,82332.83,71937.39,0.5485,0
2025-07-10 18:35:06.366091,190,1,3.63,89831.26,81320.98,0.7924,1
2025-08-23 18:35:06.366091,127,1,3.38,55634.31,50159.16,0.5039,0
